	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
3866.670898	1.93	-144.18	0.83
3893.337646	1.74	-155.85	0.98
3920.004395	0.74	-163.65	0.99
3946.671143	-0.75	-156.63	1.00
3973.337891	-0.43	-143.56	1.00
4000.004639	0.05	-139.66	0.98
4026.671387	1.12	-145.61	0.99
4053.338135	1.33	-149.33	1.00
4080.004883	2.27	-150.94	0.98
4106.671387	2.46	-158.22	0.99
4133.337891	2.34	-158.20	0.98
4160.004395	2.65	-146.56	0.95
4186.670898	5.49	-150.75	0.98
4213.337402	5.79	-163.34	0.98
4240.003906	4.68	-168.20	0.99
4266.670410	2.38	-170.29	0.98
4293.336914	2.62	-161.17	0.95
4320.003418	3.08	-155.96	0.94
4346.669922	3.51	-170.02	0.98
4373.336426	3.64	-171.29	1.00
4400.002930	4.12	-172.57	1.00
4426.669434	3.23	-175.91	0.99
4453.335938	1.65	-172.04	0.99
4480.002441	1.19	-160.80	1.00
4506.668945	1.52	-167.58	0.93
4533.335449	2.94	-175.26	0.99
4560.001953	2.66	-175.45	1.00
4586.668457	1.65	-169.89	0.99
4613.334961	1.88	-164.53	0.97
4640.001465	2.49	-165.51	0.99
4666.667969	2.76	-166.00	1.00
4693.334473	3.39	-164.17	0.99
4720.000977	3.79	-166.06	0.99
4746.667480	3.51	-171.98	1.00
4773.333984	2.58	-172.46	0.99
4800.000488	2.40	-161.22	0.99
4826.666992	3.10	-156.02	0.99
4853.333496	3.18	-159.15	0.99
4880.000000	3.30	-162.12	0.99
4906.666504	2.59	-164.47	1.00
4933.333008	2.86	-163.10	0.99
4959.999512	3.64	-166.70	1.00
4986.666016	3.86	-168.29	1.00
5013.332520	3.84	-169.66	1.00
5039.999023	4.22	-171.54	0.99
5066.665527	4.14	-175.81	0.97
5093.332031	3.57	-172.97	0.98
5119.998535	1.82	-167.14	0.99
5146.665039	2.24	-161.45	1.00
5173.331543	4.23	-158.36	0.99
5199.998047	5.46	-159.04	0.98
5226.664551	5.02	-167.04	0.99
5253.331055	4.73	-170.55	1.00
5279.997559	4.28	-167.93	1.00
5306.664063	4.47	-167.18	1.00
5333.330566	4.77	-169.21	1.00
5359.997070	5.16	-171.24	1.00
5386.663574	5.05	-172.47	1.00
5413.330078	4.79	-172.07	1.00
5439.996582	4.70	-171.24	1.00
5466.663086	4.58	-172.43	0.99
5493.329590	4.19	-173.26	0.99
5519.996094	4.57	-170.56	1.00
5546.662598	5.10	-172.05	0.99
5573.329102	6.37	-177.32	0.98
5599.995605	6.25	-177.95	0.99
5626.662109	5.87	-176.16	0.96
5653.328613	5.43	-168.79	0.99
5679.995117	5.51	-167.92	0.98
5706.661621	6.43	-172.16	0.98
5733.328125	6.30	-173.94	1.00
5759.994629	5.81	-175.19	1.00
5786.661133	5.39	-172.71	1.00
5813.327637	5.34	-169.88	1.00
5839.994141	5.66	-168.49	1.00
5866.660645	6.64	-166.57	0.97
5893.327148	7.67	-168.78	1.00
5919.993652	7.81	-173.21	1.00
5946.660156	7.72	-174.13	1.00
5973.326660	7.76	-173.78	1.00
5999.993164	8.13	-171.92	1.00
6026.659668	8.46	-172.61	0.99
6053.326172	8.77	-177.42	0.99
6079.992676	8.65	174.36	0.98
6106.659180	8.05	172.23	1.00
6133.325684	7.25	175.25	0.99
6159.992188	6.97	179.92	0.99
6186.658691	7.79	179.96	0.96
6213.325195	9.38	174.34	0.97
6239.991699	9.03	167.11	0.97
6266.658203	8.68	164.61	0.99
6293.324707	8.93	165.90	1.00
6319.991211	9.78	166.81	1.00
6346.657715	9.92	163.55	1.00
6373.324219	9.61	158.45	0.99
6399.990723	9.11	154.93	1.00
6426.657227	8.84	153.44	1.00
6453.323730	8.45	152.25	0.98
6479.990234	8.01	150.42	1.00
6506.656738	8.29	153.61	0.94
6533.323242	8.85	152.33	0.98
6559.989746	9.05	145.74	1.00
6586.656250	8.62	143.24	1.00
6613.322754	7.93	142.62	1.00
